ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
13.0,3859.9,1541.15,330.14,192.28,259.65,176.53,465.73,522.19,839.7,1285.45,1449.66,1660.99
13.0,3440.04,1293.83,279.96,159.96,239.15,161.72,643.1,522.19,606.06,1087.76,1456.3,1765.25
13.0,4830.67,1398.07,350.53,189.79,305.77,200.44,492.93,318.1,488.72,931.36,1601.36,1884.63
13.0,8518.92,2164.55,587.36,313.29,488.55,308.64,611.54,408.18,664.21,1129.05,1712.29,1817.78
13.0,7867.1,2239.16,598.34,317.43,468.9,264.22,875.97,629.37,720.33,1300.39,1648.77,1821.76
14.0,3601.26,1508.44,370.92,198.91,233.17,151.47,644.19,271.36,605.03,902.36,1665.83,1673.72
14.0,1787.29,1202.87,221.93,147.53,147.76,107.05,537.55,246.27,657.07,928.72,1675.31,1723.86
14.0,1893.99,1002.56,194.48,120.18,154.59,107.05,655.07,522.19,888.68,1208.13,1462.94,1611.64
14.0,2661.8,1055.7,234.47,134.27,187.05,128.69,794.35,621.39,596.87,1080.73,1321.67,1563.89
14.0,3083.98,1291.78,324.66,170.73,203.28,125.28,535.37,265.66,538.72,799.56,1356.75,1443.72
14.0,2838.09,1226.38,314.46,169.07,190.47,120.72,898.82,436.68,720.33,1042.95,1662.99,1722.27
14.0,2823.02,931.02,261.92,134.27,176.8,107.05,638.75,232.59,521.37,808.35,1662.04,1731.03
14.0,3785.67,1252.95,368.57,180.68,223.78,128.69,773.68,440.1,685.64,1086.0,1707.55,1857.57
14.0,3506.15,1180.39,342.69,171.56,209.26,118.44,840.06,566.66,799.91,1196.71,1921.82,1983.32
14.0,3456.28,1104.76,321.52,163.27,210.11,124.14,694.24,465.19,771.34,1203.74,1887.69,1975.36
15.0,2697.75,972.92,266.63,140.07,177.65,108.19,827.0,484.57,684.62,1164.2,1829.86,2093.15
15.0,3363.49,988.25,275.25,142.55,211.82,121.86,747.56,384.23,582.59,978.81,1823.22,2195.82
15.0,3322.9,1364.34,348.97,186.48,215.23,130.97,924.93,704.62,919.29,1418.13,1903.81,2179.1
15.0,3525.87,1294.85,334.85,174.05,234.02,134.39,935.81,560.96,780.53,1232.73,1758.75,1884.63
15.0,4507.08,1391.94,378.76,190.62,267.33,159.44,443.97,365.99,681.56,945.42,1353.9,1497.04
15.0,5555.56,1707.73,505.02,251.13,327.98,192.47,434.17,378.53,701.96,975.29,1278.06,1390.39
15.0,4690.33,1888.62,488.55,254.44,308.33,185.64,731.24,321.52,597.89,885.67,1477.16,1523.3
15.0,3660.41,1387.85,351.32,188.14,256.23,160.58,595.22,182.43,414.24,710.82,1670.57,1640.3
15.0,4802.84,1920.3,486.98,259.41,309.19,198.16,549.52,331.79,913.16,1148.38,2340.89,1723.07
15.0,3934.13,1558.52,385.04,212.17,272.46,168.55,675.74,395.64,721.35,1075.46,1596.62,1600.5
16.0,4440.97,1058.77,254.86,145.04,263.92,146.92,742.12,304.42,1716.14,1996.27,3380.02,1645.07
16.0,3125.73,936.13,230.55,127.63,203.28,118.44,395.0,229.17,1428.41,1622.85,2479.31,1387.21
16.0,3054.98,804.3,225.85,126.81,202.42,113.89,816.12,307.84,1570.23,1941.79,3163.85,1724.66
16.0,2702.39,795.1,223.49,123.49,175.95,94.53,291.63,140.24,887.66,1195.83,1646.87,1237.58
16.0,4251.92,1014.83,305.05,161.62,241.71,134.39,520.14,237.15,1070.29,1542.01,2751.42,2353.4
16.0,3273.03,974.97,225.06,137.58,225.48,128.69,1461.39,395.64,2435.44,2907.42,4942.51,2772.03
16.0,4677.58,1053.66,320.73,171.56,292.1,152.61,747.56,395.64,1827.35,2521.7,3443.54,2083.6
16.0,5077.72,1302.0,361.51,193.94,296.37,157.17,892.29,449.22,1647.78,2103.46,2423.38,1451.67
16.0,4826.03,1189.58,327.01,177.36,291.25,164.0,388.47,250.84,992.75,1277.54,1920.88,1293.3
16.0,5004.65,1176.3,355.24,184.82,286.12,149.19,910.79,698.92,1311.08,1846.02,2434.75,1887.81
17.0,920.9,410.84,103.51,58.84,61.5,37.58,831.35,493.69,669.31,1077.21,1870.63,2033.46
17.0,1041.52,390.4,99.59,57.19,70.04,41.0,771.5,560.96,719.31,1365.41,1859.25,2035.05
17.0,967.29,338.28,84.69,48.07,67.47,43.28,667.04,549.56,564.22,1117.63,1689.54,2172.74
17.0,1089.08,359.74,86.26,48.9,75.16,50.11,502.73,614.55,585.65,1136.08,1134.89,1457.25
17.0,1534.45,466.02,113.71,62.99,100.78,67.19,346.03,435.54,456.07,765.3,1023.01,987.68
17.0,1895.15,613.19,145.86,79.56,125.55,82.0,362.36,482.29,488.72,943.66,1039.13,1217.69
17.0,1926.47,715.39,169.39,94.48,139.22,89.97,295.98,351.17,506.07,912.91,959.49,1048.17
17.0,3132.69,817.58,246.24,125.98,193.88,116.17,256.8,303.28,462.19,800.44,779.35,864.32
17.0,2495.94,963.73,242.32,139.24,180.22,120.72,221.98,255.4,359.14,622.96,689.28,741.75
17.0,3347.26,1215.13,283.09,159.96,229.75,158.3,227.42,236.01,337.72,567.6,649.46,689.23
18.0,2964.51,1051.62,254.86,143.38,186.19,113.89,463.55,294.16,871.33,1135.2,2046.97,1526.49
18.0,2983.07,926.94,227.42,126.81,181.07,107.05,816.12,442.38,864.19,1250.3,2229.01,1715.11
18.0,2886.81,934.09,238.39,128.46,169.11,97.94,503.82,229.17,722.37,1057.88,2218.58,1665.76
18.0,2490.15,899.34,227.42,121.83,146.05,89.97,510.35,265.66,864.19,1230.97,2292.54,1717.5
18.0,2274.42,912.63,203.11,115.2,145.2,94.53,772.59,490.27,1124.36,1717.74,2335.2,1894.18
18.0,2251.22,904.45,188.21,110.23,153.74,102.5,422.2,249.69,999.89,1558.71,1860.2,1416.66
18.0,2216.43,851.31,174.09,104.43,144.34,88.83,467.91,281.62,1003.97,1453.27,2008.1,1410.29
18.0,2768.5,808.39,184.29,106.09,163.99,94.53,642.01,464.04,1007.03,1656.24,2290.64,1982.52
18.0,2886.81,733.78,184.29,101.11,160.57,89.97,523.4,346.61,602.99,1107.09,1811.84,1881.45
18.0,2916.96,823.72,222.71,114.37,160.57,87.69,524.49,420.72,687.68,1165.08,1820.38,1701.58
19.0,1224.78,578.44,133.31,78.74,89.68,59.22,570.19,371.69,528.51,989.35,1465.78,1602.89
19.0,960.34,470.11,101.16,62.99,73.45,47.83,686.63,506.23,676.46,1078.97,1373.81,1585.38
19.0,1247.97,443.54,95.67,60.5,91.39,62.64,738.86,640.77,533.61,1097.42,1212.64,1738.19
19.0,1681.75,514.06,118.41,68.79,106.76,64.92,469.0,384.23,363.22,838.22,1242.98,1544.0
19.0,1947.35,621.36,163.9,88.68,122.99,72.89,372.15,335.21,456.07,865.46,1452.51,1334.68
