ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
9.0,487.13,160.45,50.19,36.47,48.68,34.17,908.61,2728.4,4707.64,7765.42,4989.92,4796.73
9.0,589.19,142.06,53.33,36.47,61.5,37.58,884.67,2567.64,5564.69,8651.09,6724.96,5349.86
9.0,618.19,113.44,61.17,41.44,63.2,37.58,610.46,2045.45,5708.55,8058.89,4828.74,3088.79
9.0,750.41,148.19,63.52,42.27,70.89,44.42,553.87,1486.77,4272.99,6533.57,3810.46,2686.07
9.0,935.98,197.24,65.09,45.58,83.7,51.25,205.66,616.83,2818.05,3855.47,1950.27,916.05
10.0,491.77,127.75,89.4,62.16,56.37,31.89,770.41,1259.88,2732.35,3624.39,2300.12,1470.77
10.0,540.48,117.53,76.85,52.21,53.81,28.47,473.35,1437.74,3357.79,4338.73,2302.97,1402.33
10.0,586.87,97.09,70.58,46.41,54.66,28.47,318.83,1249.61,3059.86,3734.22,1924.67,900.13
10.0,622.83,95.04,72.15,46.41,55.52,28.47,278.57,1323.72,2629.3,3310.72,1350.11,627.94
10.0,644.86,104.24,73.71,47.24,58.08,31.89,200.22,933.79,2096.71,2439.98,1017.32,378.84
10.0,589.19,107.31,61.17,39.78,56.37,26.19,340.59,1584.82,2574.2,3142.9,1341.58,623.17
10.0,570.63,86.87,55.68,35.64,52.95,27.33,239.39,1127.62,2277.3,2637.68,1169.97,428.98
10.0,523.08,67.45,50.19,31.49,48.68,26.19,238.31,1031.84,2123.23,2555.09,1059.04,353.37
10.0,577.59,70.52,48.62,30.67,52.95,30.75,150.17,527.89,1841.63,2092.04,905.45,263.43
10.0,641.38,116.51,58.81,38.95,66.62,39.86,154.52,461.76,1968.15,2046.35,900.71,256.27
11.0,1489.22,1019.94,138.02,99.46,122.99,111.61,907.52,777.59,950.91,1743.22,1772.02,2313.61
11.0,831.59,632.61,90.97,64.65,71.74,70.61,1051.16,917.83,668.29,1736.19,1701.86,2900.16
11.0,851.31,572.31,86.26,62.16,70.89,59.22,485.32,429.84,530.55,1277.54,1794.78,3563.13
11.0,809.56,461.93,74.5,53.04,68.33,51.25,405.88,359.15,764.2,1847.78,2761.85,4654.27
11.0,773.6,393.46,63.52,43.93,61.5,44.42,590.87,745.66,1196.81,2863.49,4072.14,6640.77
11.0,853.63,386.31,65.87,43.1,64.06,41.0,759.53,910.99,1671.24,4390.56,6224.36,9344.36
11.0,785.2,339.3,67.44,43.1,57.22,37.58,621.34,664.71,1344.75,3367.83,5264.87,7985.8
11.0,803.76,337.25,66.66,41.44,59.79,42.14,409.15,725.14,1133.55,2956.62,3766.85,5781.23
11.0,903.5,368.93,68.22,43.93,69.18,48.97,355.83,1010.18,950.91,2503.25,3293.74,5158.06
11.0,845.51,403.68,71.36,46.41,66.62,47.83,309.04,758.21,778.48,2102.59,2391.14,4394.02
12.0,1070.52,625.45,105.87,67.13,88.83,72.89,711.65,1011.32,1076.41,2144.76,1757.8,2357.38
12.0,1080.96,662.24,106.65,72.11,91.39,72.89,670.3,803.81,874.39,1877.65,1859.25,2524.51
12.0,945.26,565.15,94.89,63.82,81.99,64.92,673.57,985.1,1163.14,2284.46,1886.74,2249.94
12.0,757.37,501.79,83.12,54.7,63.2,51.25,724.71,941.77,1069.27,1974.3,1882.0,2503.02
12.0,585.71,396.53,69.01,44.76,49.54,43.28,1260.08,1321.44,845.82,2229.99,2336.15,3417.48
12.0,545.12,348.5,55.68,36.47,51.25,42.14,1128.42,1136.74,1042.74,2625.38,2896.48,4064.53
12.0,596.15,338.28,47.84,33.98,55.52,45.56,1062.04,1448.0,1347.81,2932.02,2919.24,4005.63
12.0,859.43,414.92,67.44,44.76,75.16,55.81,1249.2,1566.58,1236.6,2636.8,2511.55,3659.43
12.0,882.63,436.39,75.28,48.07,74.31,56.94,465.73,966.86,885.62,1969.03,1833.65,2516.55
12.0,940.62,484.42,79.99,52.21,76.87,60.36,472.26,936.07,978.46,1992.76,1646.87,2239.59
13.0,1398.75,723.56,112.14,75.42,117.01,89.97,806.32,1088.85,832.56,2200.11,2139.89,3096.75
13.0,1207.38,644.87,107.43,70.45,94.81,74.03,869.44,1168.66,938.67,2685.12,2879.42,3996.08
13.0,1043.84,513.03,91.75,60.5,76.02,62.64,844.41,1474.23,1258.02,3593.64,3454.92,4524.54
13.0,963.81,515.08,86.26,57.19,75.16,56.94,606.1,1296.36,1268.23,3523.35,3501.38,4378.1
13.0,917.42,473.18,77.63,51.39,72.6,53.53,865.08,1217.69,1405.97,3636.69,3992.5,4988.54
13.0,872.19,425.14,72.15,47.24,68.33,51.25,606.1,1354.51,1452.9,3564.64,3381.92,4166.4
13.0,881.47,417.99,69.01,44.76,70.89,52.39,1105.57,1424.06,1239.66,3127.96,3142.99,4305.68
13.0,916.26,421.06,68.22,44.76,73.45,55.81,907.52,1159.54,1287.61,2870.52,2963.8,3896.6
13.0,788.68,397.55,63.52,42.27,66.62,53.53,466.82,800.39,1070.29,2177.27,2166.44,2711.54
13.0,930.18,437.41,66.66,45.58,79.43,66.05,571.28,889.32,1173.34,2223.84,1942.68,2390.81
14.0,1331.48,693.92,108.22,73.76,105.05,79.72,936.9,1036.4,1030.5,2614.83,2773.23,3446.93
14.0,1123.87,607.06,98.02,65.47,92.24,70.61,1424.4,1452.56,1075.39,3223.73,3299.43,4461.67
14.0,951.06,500.77,83.12,54.7,72.6,56.94,774.77,1091.13,1251.9,3286.11,3601.88,4622.44
14.0,908.14,475.22,83.12,52.21,69.18,50.11,688.8,1205.15,1131.51,3065.58,3678.68,5027.54
14.0,874.51,389.37,71.36,44.76,67.47,50.11,908.61,1697.7,1189.66,3540.92,3851.23,5301.32
14.0,937.14,467.04,75.28,49.73,75.16,56.94,657.25,1619.03,1196.81,3569.04,3458.71,4665.41
14.0,942.94,476.24,75.28,50.56,76.87,59.22,753.0,1400.12,974.38,3023.4,3028.27,4426.65
14.0,962.66,441.5,71.36,47.24,80.29,61.5,578.9,1208.57,1247.82,2888.97,2696.43,3184.29
14.0,1020.65,458.87,72.93,48.07,86.26,67.19,462.47,868.8,987.65,2194.84,1982.5,2571.47
14.0,1244.49,545.74,83.91,55.53,101.64,78.58,756.27,868.8,1021.32,1908.41,1834.6,2380.46
15.0,1072.84,504.86,79.2,58.02,95.66,76.3,943.43,1250.75,1127.43,2881.94,2865.2,3357.79
15.0,1649.27,659.18,95.67,72.11,137.51,104.78,831.35,1002.2,1096.82,2853.82,3616.1,4319.21
15.0,1620.28,603.99,98.02,69.62,122.99,89.97,671.39,1192.61,1645.74,4086.56,4562.32,4958.29
15.0,1505.45,602.97,91.75,66.3,120.43,83.14,855.29,1335.13,2092.62,4948.5,5461.13,5856.84
15.0,1416.15,537.56,83.12,58.84,112.74,77.44,716.01,1381.87,2209.96,5250.75,5802.45,6282.63
15.0,1373.23,482.37,77.63,53.87,105.91,74.03,659.42,1634.99,2284.44,5264.81,5560.68,5707.21
15.0,1278.13,452.74,73.71,50.56,102.49,70.61,644.19,1405.82,2229.34,5039.0,5232.63,5309.27
15.0,1118.07,421.06,68.22,48.07,91.39,66.05,401.53,961.15,1440.66,2671.94,2097.22,2429.01
15.0,1115.75,380.18,65.09,43.1,89.68,66.05,422.2,998.78,1853.88,3875.68,3601.88,3286.16
