ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
9.0,3862.22,1302.0,368.57,183.99,242.57,142.36,549.52,230.31,464.23,664.25,1471.47,1356.17
9.0,4019.96,1370.47,421.9,211.34,240.86,135.53,571.28,267.94,727.47,861.95,1629.81,1376.07
9.0,3279.99,1161.99,345.83,181.51,206.69,118.44,932.55,392.21,984.58,1150.14,1988.19,1669.74
9.0,2806.78,1038.33,291.72,149.18,186.19,116.17,693.16,308.98,848.89,1069.31,1945.53,1742.96
9.0,4822.55,1386.83,440.72,211.34,277.58,167.42,634.39,421.86,932.55,1175.62,1572.92,1535.24
9.0,6181.87,2071.55,613.24,311.63,386.05,223.22,795.44,592.88,905.0,1280.18,1653.51,1576.63
9.0,5476.7,1774.16,546.58,270.19,343.35,190.19,512.52,161.9,390.77,631.74,1547.32,1415.86
10.0,1855.72,703.12,170.17,98.63,127.26,78.58,722.54,387.65,785.63,1182.65,1901.91,1430.19
10.0,1456.74,590.7,148.21,84.54,103.35,66.05,594.13,321.52,693.8,1030.64,1763.49,1369.7
10.0,1310.6,581.51,161.54,87.85,89.68,52.39,833.53,459.48,721.35,1230.1,2298.22,2172.74
10.0,1423.11,453.76,150.56,77.08,88.83,47.83,909.7,589.46,866.23,1514.78,2331.41,2420.25
10.0,1503.13,433.32,136.45,69.62,95.66,58.08,881.41,582.62,687.68,1358.38,2267.89,2570.67
10.0,1755.98,589.68,156.84,84.54,117.01,71.75,709.48,501.67,820.32,1488.42,2173.07,2054.15
10.0,2163.07,689.84,176.44,95.31,138.36,85.42,663.78,519.91,908.06,1527.96,1969.23,1793.9
10.0,2359.08,777.73,193.7,106.09,158.01,99.08,574.55,560.96,781.55,1295.12,1357.7,1414.27
10.0,2644.4,846.2,216.44,118.52,171.67,102.5,475.52,444.66,691.76,1101.81,1096.97,1185.06
10.0,3077.02,920.8,258.78,136.75,193.03,109.33,414.59,393.35,601.97,962.11,1084.64,1086.37
11.0,2069.13,775.68,188.21,104.43,136.66,86.55,656.16,565.52,661.15,1096.54,1316.93,1558.32
11.0,2497.1,856.42,223.49,120.18,164.84,97.94,834.62,575.78,884.6,1281.94,1803.31,1631.54
11.0,2749.95,784.88,211.73,112.72,173.38,113.89,845.5,338.63,725.43,1086.88,2254.61,1645.87
11.0,2971.47,1180.39,290.94,156.64,210.96,137.8,738.86,270.22,902.96,1029.77,2109.55,1437.35
11.0,3097.89,1336.75,289.37,164.93,232.32,161.72,489.67,238.29,760.12,955.96,1767.28,1508.18
11.0,3580.38,1515.6,357.59,203.06,239.15,166.28,458.11,304.42,826.44,1045.58,1483.8,1306.03
11.0,4474.61,1753.72,412.48,230.41,311.75,198.16,442.88,321.52,649.93,880.4,1066.63,1109.45
11.0,3727.68,1738.39,382.69,219.63,266.48,179.94,391.74,299.86,447.91,665.13,980.35,1035.43
11.0,2955.24,1536.04,287.8,183.99,235.73,174.25,400.44,249.69,488.72,848.77,1276.16,1175.51
11.0,2444.91,1192.65,257.21,157.47,179.36,120.72,310.12,193.83,407.1,676.55,1087.48,1125.37
12.0,3070.06,1535.01,395.23,215.49,214.38,136.67,996.75,329.51,705.02,1065.79,2142.73,1895.77
12.0,2441.43,1308.13,322.3,179.02,175.95,117.3,671.39,404.76,680.54,1032.4,1609.89,1776.39
12.0,2823.02,1033.22,278.39,149.18,187.05,115.03,741.03,271.36,466.27,755.63,1598.52,1713.52
12.0,3038.74,1288.72,330.14,180.68,209.26,133.25,683.36,329.51,699.92,975.29,1668.68,1711.13
12.0,3020.19,1293.83,336.42,179.02,197.3,124.14,624.6,416.16,757.06,999.89,1340.63,1453.27
12.0,2891.44,1073.08,283.88,149.18,181.92,109.33,804.15,239.43,523.41,748.6,1573.87,1442.12
12.0,3094.41,1270.32,341.91,176.53,194.74,120.72,683.36,122.0,385.67,587.81,1613.69,1427.8
12.0,2970.31,1272.36,315.24,170.73,199.01,126.42,922.76,487.99,966.22,1218.67,1878.21,1892.59
12.0,3136.17,1138.49,282.31,152.5,205.84,128.69,951.05,345.47,596.87,915.54,1798.57,1844.04
12.0,4982.61,1478.8,408.56,215.49,301.5,176.53,652.89,372.83,727.47,991.11,1602.31,1762.06
13.0,2839.25,1075.12,267.41,151.67,190.47,120.72,1087.07,453.78,1244.76,1780.12,3381.92,2674.93
13.0,3037.58,1199.8,295.64,160.79,196.44,124.14,1217.65,558.68,1244.76,1765.19,3043.44,2809.43
13.0,2905.36,1273.39,297.21,164.93,191.32,127.55,1416.78,652.17,1217.21,1742.34,2998.88,2717.91
13.0,2856.65,1155.86,260.35,146.7,192.17,123.0,928.2,312.4,1002.95,1397.92,3014.05,2407.52
13.0,2632.8,1117.02,244.67,140.07,175.09,115.03,754.09,530.17,1188.64,1717.74,2474.57,2518.15
13.0,2693.11,1053.66,226.63,133.44,193.03,125.28,743.21,704.62,933.57,1523.56,1973.97,2289.73
13.0,3209.24,933.07,217.22,123.49,213.53,132.11,875.97,502.81,626.46,1175.62,1928.46,2358.97
13.0,4051.27,1277.47,315.24,175.71,272.46,171.97,824.82,530.17,796.85,1373.31,2168.33,2346.24
13.0,7359.09,1985.71,530.11,276.82,423.64,236.89,660.51,482.29,793.79,1318.84,1875.37,1996.85
13.0,6157.51,1719.99,450.91,238.69,368.97,208.41,701.86,494.83,678.5,1193.19,1681.95,1839.26
14.0,4443.29,1997.97,477.57,261.07,296.37,197.03,488.58,209.79,447.91,696.76,1330.2,1368.9
14.0,2013.46,1308.13,240.75,159.13,163.99,119.58,466.82,202.95,537.7,767.93,1405.1,1447.69
14.0,2396.2,1067.97,227.42,135.09,175.09,121.86,721.45,490.27,799.91,1100.94,1438.29,1522.51
14.0,3119.93,1293.83,306.62,167.42,207.55,135.53,806.32,533.59,511.17,941.02,1259.09,1527.28
14.0,2639.76,1186.52,314.46,165.76,169.11,107.05,526.67,218.91,454.03,696.76,1320.72,1417.45
14.0,2426.35,1033.22,268.98,145.04,164.84,100.22,878.14,354.59,648.91,947.17,1693.33,1742.96
14.0,2791.7,911.61,264.27,133.44,174.24,102.5,632.22,191.55,464.23,745.09,1757.8,1821.76
14.0,2521.46,1024.02,281.52,143.38,158.86,96.8,926.02,436.68,764.2,1179.14,2011.89,2113.05
14.0,2549.3,921.83,265.84,134.27,152.88,89.97,994.57,611.13,937.65,1390.01,2345.63,2331.91
14.0,2550.46,901.39,245.45,126.81,167.4,100.22,685.54,491.41,906.02,1389.13,1961.64,2169.55
15.0,3771.75,1253.97,328.58,179.85,222.07,121.86,741.03,578.06,976.42,1409.34,2159.8,2249.94
15.0,2698.91,899.34,258.78,133.44,169.11,101.36,972.81,500.53,670.33,1179.14,1945.53,2316.79
15.0,3174.44,925.91,279.96,140.9,193.88,108.19,838.97,423.0,614.22,1084.24,2031.8,2470.39
15.0,2674.56,1135.42,294.07,158.3,169.97,104.78,1158.89,839.16,1077.43,1636.91,2219.53,2491.88
15.0,3029.46,1070.01,288.58,148.35,190.47,112.75,902.08,489.13,836.64,1253.82,1905.71,1987.3
15.0,3777.55,1171.19,322.3,160.79,222.07,128.69,462.47,383.09,767.26,1026.25,1480.0,1583.79
15.0,4794.72,1418.51,432.09,212.17,286.12,166.28,550.61,436.68,896.84,1161.56,1447.77,1477.14
15.0,4011.84,1609.62,429.74,222.95,265.63,167.42,584.34,221.19,486.68,745.97,1470.52,1493.06
15.0,3371.61,1327.55,339.55,180.68,233.17,149.19,415.68,191.55,485.66,760.02,1747.37,1584.58
15.0,5080.04,2075.64,519.92,278.48,333.95,211.83,771.5,515.35,1345.77,1646.57,2233.75,1625.97
16.0,3456.28,954.53,272.11,147.53,229.75,133.25,735.59,239.43,1165.18,1548.16,2319.08,1366.52
16.0,3520.07,916.72,300.35,155.81,218.65,115.03,428.73,115.16,546.88,790.78,1863.99,1450.08
16.0,5305.04,1307.11,385.04,202.23,325.41,170.83,1023.95,262.24,1649.82,1973.43,3324.08,2228.45
16.0,6163.31,1304.05,386.61,206.37,359.58,181.08,695.33,283.9,1521.26,2017.36,3385.71,1878.26
16.0,6553.01,1621.88,467.38,247.81,385.2,210.69,432.0,256.54,1153.95,1692.26,2264.09,1455.65
16.0,5532.37,1371.5,399.94,215.49,333.1,182.22,694.24,290.74,1210.07,1611.43,1966.39,1242.36
